nss_state_name,nss_district_code,district_name,spei_state_name,spei_district_code,nss_state_code,NSS_code,nss_district_code19
Madhya Pradesh,33,katni,MADHYA PRADESH,206,23,234,2333
Madhya Pradesh,37,mandla,MADHYA PRADESH,247,23,234,2337
Madhya Pradesh,16,mandsaur,MADHYA PRADESH,248,23,233,2316
Madhya Pradesh,2,morena,MADHYA PRADESH,255,23,236,2302
Madhya Pradesh,35,narsimhapur,MADHYA PRADESH,264,23,234,2335
Madhya Pradesh,15,nimach,MADHYA PRADESH,269,23,233,2315
Madhya Pradesh,9,panna,MADHYA PRADESH,283,23,231,2309
Madhya Pradesh,29,raisen,MADHYA PRADESH,299,23,232,2329
Madhya Pradesh,25,rajgarh,MADHYA PRADESH,301,23,233,2325
Madhya Pradesh,17,ratlam,MADHYA PRADESH,307,23,233,2317
Madhya Pradesh,13,rewa,MADHYA PRADESH,309,23,231,2313
Madhya Pradesh,10,sagar,MADHYA PRADESH,312,23,232,2310
Madhya Pradesh,12,satna,MADHYA PRADESH,320,23,231,2312
Madhya Pradesh,28,sehore,MADHYA PRADESH,322,23,232,2328
Madhya Pradesh,39,seoni,MADHYA PRADESH,323,23,234,2339
Madhya Pradesh,43,shahdol,MADHYA PRADESH,326,23,231,2343
Madhya Pradesh,19,shajapur,MADHYA PRADESH,328,23,233,2319
Madhya Pradesh,1,sheopur,MADHYA PRADESH,330,23,236,2301
Madhya Pradesh,6,shivpuri,MADHYA PRADESH,333,23,236,2306
Madhya Pradesh,45,sidhi,MADHYA PRADESH,336,23,231,2345
Madhya Pradesh,46,singrauli,MADHYA PRADESH,339,23,231,2346
Madhya Pradesh,7,tikamgarh,MADHYA PRADESH,363,23,231,2307
Madhya Pradesh,18,ujjain,MADHYA PRADESH,369,23,233,2318
Madhya Pradesh,14,umaria,MADHYA PRADESH,370,23,231,2314
Madhya Pradesh,26,vidisha,MADHYA PRADESH,377,23,232,2326
Madhya Pradesh,23,west nimar,MADHYA PRADESH,387,23,235,2323
Maharashtra,26,ahmadnagar,MAHARASHTRA,442,27,272,2726
Maharashtra,5,akola,MAHARASHTRA,443,27,275,2705
Maharashtra,7,amravati,MAHARASHTRA,445,27,275,2707
Maharashtra,10,bhandara,MAHARASHTRA,461,27,276,2710
Maharashtra,27,bid,MAHARASHTRA,464,27,274,2727
Maharashtra,4,buldana,MAHARASHTRA,466,27,275,2704
Maharashtra,13,chandrapur,MAHARASHTRA,469,27,276,2713
Maharashtra,2,dhule,MAHARASHTRA,474,27,273,2702
Maharashtra,12,gadchiroli,MAHARASHTRA,485,27,276,2712
Maharashtra,11,gondiya,MAHARASHTRA,487,27,276,2711
Maharashtra,16,hingoli,MAHARASHTRA,492,27,274,2716
Maharashtra,3,jalgaon,MAHARASHTRA,499,27,273,2703
Maharashtra,18,jalna,MAHARASHTRA,500,27,274,2718
Maharashtra,34,kolhapur,MAHARASHTRA,517,27,272,2734
Maharashtra,28,latur,MAHARASHTRA,523,27,274,2728
Maharashtra,23,mumbai city,MAHARASHTRA,539,27,271,2723
Maharashtra,22,mumbai suburban,MAHARASHTRA,595,27,271,2722
Maharashtra,9,nagpur,MAHARASHTRA,544,27,275,2709
Maharashtra,15,nanded,MAHARASHTRA,547,27,274,2715
Maharashtra,1,nandurbar,MAHARASHTRA,548,27,273,2701
Maharashtra,20,nashik,MAHARASHTRA,549,27,273,2720
Maharashtra,29,osmanabad,MAHARASHTRA,554,27,274,2729
Maharashtra,17,parbhani,MAHARASHTRA,560,27,274,2717
Maharashtra,25,pune,MAHARASHTRA,567,27,272,2725
Maharashtra,24,raigarh,MAHARASHTRA,571,27,271,2724
Maharashtra,32,ratnagiri,MAHARASHTRA,573,27,271,2732
Maharashtra,35,sangli,MAHARASHTRA,580,27,272,2735
